---
name: "Athena 100 Day Onboarding"
source_url: "https://docs.google.com/spreadsheets/d/1r-dsA9QVPtPFJdDH92HWf6RMOosVRHyUFT93bdXvlOg/edit"
export_date: "2026-01-30T17:21:47.314Z"
type: "google_sheet"
export_format: "csv"
sheet_count: 2
---

Day/ Week,Playbook Title,Title,Description,URL
KOC,Access 1,Define your delegation stack,"Before you start delegating, you need the right tools for smooth communication and task management between you and your EA.",https://playbooks.athenago.com/foundations/define-your-delegation-stack
KOC,Access 2,Align on your rituals,"Regular check-ins are key in the early stages of vour partnership, Thate meetings let you crovkie context, offer feedback, and make sure your EA understands.",https://playbooks.athenago.com/foundations/align-on-your-rituals
Day 1,Access 3,Activate your intake system,Setting up a task management system is the first move towards ensuring all your tasks are successfully delegated. You'll see what your EA is working on and can delegate tasks smoothly on an ongoing basis.,https://playbooks.athenago.com/foundations/activate-your-task-intake-system
Day 1,Access 4,Share access to your inboxes,"Effective delegation starts with sharing access to your tools, and the Inbox is the most critical piece of your digital infrastructure.",https://playbooks.athenago.com/foundations/share-access-to-your-inboxes
Day 1,Access 5,Share access to your calendar,"Your calendar is the blueprint of your life. To build your schedule effectively, your EA needs full visibility of your personal, professional, and family",https://playbooks.athenago.com/foundations/share-access-to-your-calendar
Day 2,Access 6,Set up your password manager,"After giving inbox acoess, securely sharing your pesswords is the most important step toward empowering your EA to act for you. We suggest sharing everything except bank account logins.",https://playbooks.athenago.com/foundations/set-up-your-password-manager
Day 2,Access 7,Configure two-factor authentication,Setting up a system for approving two-factor authentication requests is a key step toward eliminating interruptions.,https://playbooks.athenago.com/foundations/configure-two-factor-authentication
1-2,Calendar 1,Onboard your EA into your calendar,"With full access to your calendars, your EA can start freeing up your time by tackling immediate scheduling issues. This is the first move towards an optimized calendar.",https://playbooks.athenago.com/foundations/onboard-your-ea-into-your-calendar
1-2,Calendar 2,Enable your EA to book meetings on your terms,"For your EA to fully take on scheduling, they need to fully understand your preferences for booking both personal and professional events.",https://playbooks.athenago.com/foundations/enable-your-ea-to-book-meetings-on-your-terms
1-2,Calendar 3,Determine and protect your focus time,Scheduling focus time—dedicated hours reserved for project- or task-specific work—is an essential component of an ideal week. But not all time blocks are equally conducive to reaching your flow state.,https://playbooks.athenago.com/foundations/determine-and-protect-focus-time
3-4,Inbox 1,Establish your email Ecosystem,"Your Inbox is now calibrated to your liking. But like most early-stage delegators, you're probably still spending way too much time in there—2.6 hours per day, on average.",https://playbooks.athenago.com/foundations/establish-your-email-ecosystem
3-4,Inbox 2,Fine-tune comms for your most important contacts,Your EA is now managing your inbox systematically. But there will always be exceptions to established processes. The next step is to set more specific guidelines for handling your most sensitive contacts.,https://playbooks.athenago.com/foundations/fine-tune-comms-for-your-most-important-contacts
3-4,Inbox 3,Sweep your inbox while spending less time in it,"Your Inbox is now calibrated to your liking. But like most early-stage delegators, you're probably still spending way too much time in there—2.6 hours per day, on average.",https://playbooks.athenago.com/foundations/sweep-your-inbox-while-spending-less-time-in-it
5-6,Calendar 4,End-to-end meeting support,"Meetings are more than just the time spent in a conference room. The preparation and follow-up are equally crucial. With your EA's support, you can focus on delivering your talking points while they handle the rest.",https://playbooks.athenago.com/foundations/end-to-end-meeting-support
5-6,Calendar 5,Construct your ideal week,"Now that your EA is deeply ingrained in your calendar, they can help you see how it really works versus how you want it to work. And they can tweak it to better match your priorities.",https://playbooks.athenago.com/foundations/construct-your-ideal-week
7-8,Inbox 4,Draft hands-free emails from anywhere,"Your EA is now your always-on inbox guardian, reacting to emails with ease. The next step is shifting to proactive inbox management and deciding which messages you want your EA to draft on your behalf.",https://playbooks.athenago.com/foundations/draft-hands-free-emails-from-anywhere
7-8,Inbox 5,Create your AI-enabled email style guide,"It usually takes time for your EA to learn how to pre-draft emalls in your voice. But with your past emalls as a guide, your EA can fast-track the learning process and start writing like you in no time.",https://playbooks.athenago.com/foundations/create-your-ai-enabled-email-style-guide
7-8,Inbox 6,Level-up your EA’s pre-drafting powers,"Now that your EA has an Al-generated, personalized email style guide, they're ready to use a tool that'll help them pre-draft messages in your voice.",https://playbooks.athenago.com/foundations/level-up-your-eas-pre-drafting-powers
9-10,Travel 1,Onboard your EA into your travel,"Travel is extremely personal-for many Athena clients, it's the trickiest part of their life to delegate. The first step toward fully transferring your travel preferences is getting your EA involved in your upcoming trips.",https://playbooks.athenago.com/foundations/onboard-your-ea-into-your-travel
9-10,Travel 2,Detail your in-depth travel preferences,"In order to confidently book travel on your terms, your EA needs to learn everything about how you like to get around.",https://playbooks.athenago.com/foundations/detail-your-in-depth-travel-preferences
11-12,Travel 3,Get where you're going with friction-free flights,Getting to and through the airport on the way to your destination is where your EA's pre-trip planning meets day-of execution.,https://playbooks.athenago.com/foundations/get-where-youre-going-with-friction-free-flights
11-12,Travel 4,Detail your accommodation preferences,"Once your EA knows how to get you to your destination, they will develop a deeper understanding of the accommodations you prefer for different trip types.",https://playbooks.athenago.com/foundations/detail-your-accommodation-preferences
