---
name: "Client Journey & Milestones"
source_url: "https://docs.google.com/spreadsheets/d/123hODub5IX35kQ3dM0TS-tGcq1lDLdIGkiTpWdVaxQg/edit"
export_date: "2026-01-30T17:21:41.456Z"
type: "google_sheet"
export_format: "csv"
sheet_count: 3
---

Area,Details,Month 1,Month 2,Month 3,Month 6,Month 12,Y2,Beyond
Experience,Reality,"Short-term pain, but experiencing early wins","Honing basic delegation skills, developing playbooks","Going beyond the basics, starting to see the magic",Reaching a leverage inflection point,Nearing complete integration,Symbiotic relationship; complete mind-meld,Experiencing limitless potential
,Description,Delegation is a skill; no progress without mistakes,"Investments starting to pay off, but still super early",Delegation mental models beginning to take hold,Provactivity more common; delegation becoming reflexive,EA nearly able to mimic client's thought process,Delegation nearly effortless; complete trust,Redefining personal possibilities & leverage
,Thought Process,"""This is harder than I thought, but will be worth it for long-term leverage.""","""Okay, I'm starting to get it. We can do this.""","""How can I involve [EA] in X more? Can this be a playbook?""","""The vibe is really shifting.""","""This is magical. How do people live without an EA?""","""With [EA], anything is possible.""","""I could be doing more. What's next?"""
,Typical Delegations,"Inbox, Calendar, Travel","+ Gifts, Relationships, a few work areas (e.g. recruiting)","+ Physical/Mental Health, Finance, Learning, & many key professional workflows","+ Passion Projects, Bucket List; most core work roles & processes",Nearly all work-related activity in some way; EA involvement in most personal goals,"All areas, business + personal; differences in depth/complexity/impact rather than scope","Delegating delegation; ""Work with person X or hire person Y to make Z happen"""

Modalities,"Task-driven 
Delegation",■■■■■■■■,■■■■■■,■■■■■,■■■■,■■■,■■,■
,"Process-driven 
Delegation",■■,■■■■,■■■■,■■■■,■■■,■■■,■■
,"Goal-driven 
Delegation",,,■,■■,■■,■■■,■■■
,Clairvoyant Delegation,,,,■,■■,■■,■■■■

Approach,"Defensive, Direct",■■■■■■■■,■■■■■■■,■■■■■,■■■,■■■,■■,■
,"Defensive, Vicarious",■■,■■,■■■,■■■■,■■■,■■■,■■
,"Offensive, Direct",,■,■■,■■,■■■,■■■
,"Offensive, Vicarious",,,,■,■,■■,■■■

Leverage,Ad Hoc,■■■■■■■■,■■■■■■■,■■■■■,■■■■,■■■,■■,■
,Recurring,■■,■■■■■,■■■■,■■■■■,■■■■■,■■■■,■■■
,Recursive,,,■,■,■■,■■■■,■■■■■■■
